"","InvoiceNo","TotalAmount","UniqueProducts","TransactionDate","CustomerID"
"68","536539",487.75,27,2010-12-01,15165
"69","536540",237.18,13,2010-12-01,14911
"70","536541",15,1,2010-12-01,14911
"71","536542",33,2,2010-12-01,16456
"72","536551",146.61,35,2010-12-01,17346
"73","536556",101.55,8,2010-12-01,17643
"74","536557",400.73,63,2010-12-01,17841
"75","536559",63.15,6,2010-12-01,17873
"76","536560",79.2,5,2010-12-01,13093
"77","536561",254.4,13,2010-12-01,12921
"78","536562",308.65,18,2010-12-01,13468
"79","536563",111.7,7,2010-12-01,17760
"80","536564",11.6,1,2010-12-01,13468
"81","536566",71.25,5,2010-12-01,16928
"82","536567",49.8,3,2010-12-01,16048
"83","536568",5.04,1,2010-12-01,16048
"84","536569",357.95,67,2010-12-01,16274
"85","536570",44.9,2,2010-12-01,14496
"86","536571",294.62,18,2010-12-01,14696
"87","536572",339.15,19,2010-12-01,16539
"88","536573",21.8,2,2010-12-01,17025
"89","536574",17.85,1,2010-12-01,17025
"90","536576",32.4,2,2010-12-01,13777
"91","536578",72.6,4,2010-12-01,17690
"92","536580",97.2,6,2010-12-01,17690
"93","536582",273.44,16,2010-12-01,12947
"94","536585",19.9,1,2010-12-01,17460
"95","536586",105,5,2010-12-01,18229
"96","536587",311.81,22,2010-12-01,14142
"97","536588",116.25,7,2010-12-01,17069
"98","536590",205.86,14,2010-12-01,13065
"99","536591",159.17,39,2010-12-01,14606
"100","536593",81.75,5,2010-12-01,16835
"101","536594",79.5,5,2010-12-01,15235
"102","536595",84.55,9,2010-12-01,13576
"103","536597",102.79,28,2010-12-01,18011
"104","536598",58.6,3,2010-12-02,13090
"105","536599",15,1,2010-12-02,15694
"106","536600",180.12,11,2010-12-02,17850
"107","536601",22.2,2,2010-12-02,17850
"108","536602",163.76,12,2010-12-02,17850
"109","536603",22.2,2,2010-12-02,17850
"110","536604",102.3,7,2010-12-02,14741
"111","536605",272.65,15,2010-12-02,13715
"112","536607",303.97,18,2010-12-02,17732
"113","536608",38.1,3,2010-12-02,12855
"114","536609",244.46,16,2010-12-02,17850
"115","536610",22.2,2,2010-12-02,17850
"116","536611",209.25,13,2010-12-02,15752
"117","536612",206.76,15,2010-12-02,17850
"118","536613",208.97,17,2010-12-02,17855
"119","536614",22.2,2,2010-12-02,17850
"120","536615",147.92,8,2010-12-02,14047
"121","536617",45,3,2010-12-02,13941
"122","536618",223.32,10,2010-12-02,17017
"123","536620",232.65,18,2010-12-02,14135
"124","536621",80.66,5,2010-12-02,13108
"125","536623",566.48,42,2010-12-02,15601
"126","536624",269,16,2010-12-02,13418
"127","536626",12.6,1,2010-12-02,13418
"128","536627",184.4,11,2010-12-02,15658
"129","536628",230.56,16,2010-12-02,17850
"130","536629",22.2,2,2010-12-02,17850
"131","536630",244.46,16,2010-12-02,17850
"132","536631",22.2,2,2010-12-02,17850
"133","536632",312.8,21,2010-12-02,14388
"134","536633",161.15,17,2010-12-02,14901
"135","536634",116.58,12,2010-12-02,18041
"136","536635",250.8,12,2010-12-02,15955
"137","536637",235.16,67,2010-12-02,18041
"138","536638",1056.63,63,2010-12-02,16244
"139","536639",288.5,16,2010-12-02,15111
"140","536641",4.25,1,2010-12-02,12748
"141","536643",223.7,27,2010-12-02,14390
"142","536663",13.2,1,2010-12-02,16546
"143","536667",240.7,13,2010-12-02,15260
"144","536671",55.8,3,2010-12-02,13305
"145","536672",32.7,2,2010-12-02,14491
"146","536673",30.24,2,2010-12-02,14060
"147","536674",127.08,21,2010-12-02,15923
"148","536676",127.55,8,2010-12-02,16752
"149","536681",75.67,12,2010-12-02,17287
"150","536685",207.08,13,2010-12-02,17850
"151","536688",22.2,2,2010-12-02,17850
"152","536690",229.16,15,2010-12-02,17850
"153","536693",22.2,2,2010-12-02,17850
"154","536698",251,14,2010-12-02,15363
"155","536707",199.65,13,2010-12-02,12915
"156","536732",354.54,26,2010-12-02,15544
"157","536733",229.6,12,2010-12-02,15738
"158","536738",98.18,7,2010-12-02,15827
"159","536739",201.75,12,2010-12-02,14180
"160","536740",92.75,7,2010-12-02,15827
"161","536741",202.12,15,2010-12-02,13117
"162","536742",198.08,50,2010-12-02,16916
"163","536743",261.76,35,2010-12-02,17964
"164","536744",81.55,5,2010-12-02,14466
"165","536745",90.2,5,2010-12-02,17235
"166","536746",217.5,12,2010-12-02,16510
"167","536747",100.2,12,2010-12-02,17802
"168","536748",65,4,2010-12-02,15107
"169","536749",289.69,63,2010-12-02,17976
"170","536750",227.42,14,2010-12-02,17850
"171","536751",22.2,2,2010-12-02,17850
"172","536752",288.56,17,2010-12-02,17850
"173","536753",22.2,2,2010-12-02,17850
"174","536754",210.24,50,2010-12-02,14449
"175","536759",279.45,16,2010-12-02,16781
"176","536761",98.9,7,2010-12-02,13491
"177","536762",272.28,19,2010-12-02,16186
"178","536763",109.92,8,2010-12-02,17685
"179","536769",406.3,25,2010-12-02,17581
"180","536771",118.38,7,2010-12-02,17581
"181","536777",26.1,2,2010-12-02,15732
"182","536778",193.23,14,2010-12-02,13138
"183","536779",15,1,2010-12-02,15823
"184","536782",342.35,22,2010-12-02,17567
"185","536783",176.08,10,2010-12-02,15061
"186","536784",205.48,11,2010-12-02,15061
"187","536787",192.46,13,2010-12-02,17850
"188","536789",22.2,2,2010-12-02,17850
"189","536790",193.4,10,2010-12-02,17850
"190","536791",44.4,2,2010-12-02,17850
"191","536792",30,1,2010-12-02,15061
"192","536793",170.7,11,2010-12-02,16203
"193","536795",13.92,2,2010-12-02,15640
"194","536796",375.65,121,2010-12-02,15574
"195","536797",130.8,6,2010-12-02,16770
"196","536798",329.25,20,2010-12-02,17838
"197","536799",183.3,18,2010-12-02,17228
"198","536800",202.17,18,2010-12-02,14829
"199","536802",75.3,5,2010-12-02,17412
"200","536803",22.5,1,2010-12-02,14911
"201","536804",119.8,7,2010-12-02,14031
"202","536805",258.96,17,2010-12-02,14775
"203","536806",45.12,5,2010-12-02,12971
"204","536808",202.8,11,2010-12-02,17659
"205","536813",189.8,17,2010-12-02,15646
"206","536819",187.08,14,2010-12-02,13402
"207","536821",143.45,23,2010-12-02,17757
"208","536823",50.55,3,2010-12-02,13011
"209","536832",164.8,8,2010-12-02,16634
"210","536833",438.1,29,2010-12-02,18239
"211","536836",263.3,27,2010-12-02,18168
"212","536837",274.03,26,2010-12-02,14395
"213","536838",37.2,3,2010-12-02,14865
"214","536839",141.12,11,2010-12-02,15093
"215","536840",155.35,11,2010-12-02,12738
"216","536841",353.62,21,2010-12-02,16150
"217","536842",198.22,9,2010-12-02,17552
"218","536843",34.9,2,2010-12-02,17552
"219","536844",30.9,2,2010-12-02,14236
"220","536845",127.55,29,2010-12-02,17961
"221","536846",413.1,76,2010-12-02,14573
"222","536847",141.18,7,2010-12-03,17135
"223","536851",47.7,3,2010-12-03,12967
"224","536852",89.14,7,2010-12-03,12686
"225","536856",681.07,37,2010-12-03,13370
"226","536857",128.03,17,2010-12-03,16883
"227","536858",35.9,2,2010-12-03,13520
"228","536859",191.75,21,2010-12-03,12841
"229","536860",93.65,8,2010-12-03,16905
"230","536861",120.3,7,2010-12-03,12427
"231","536863",123.07,48,2010-12-03,17967
"232","536874",232.26,69,2010-12-03,16891
"233","536884",39.75,3,2010-12-03,14589
"234","536938",34,2,2010-12-03,14680
"235","536943",187.51,28,2010-12-03,17884
"236","536945",309.54,66,2010-12-03,14083
"237","536946",307.34,17,2010-12-03,13013
"238","536947",532.95,34,2010-12-03,13013
"239","536956",229.75,13,2010-12-03,14210
"240","536957",50.4,2,2010-12-03,17809
"241","536960",225.65,14,2010-12-03,16477
"242","536967",18,1,2010-12-03,12600
"243","536971",96.8,5,2010-12-03,12779
"244","536972",162.25,12,2010-12-03,16926
"245","536973",444.93,24,2010-12-03,17787
"246","536974",180.39,12,2010-12-03,12682
"247","536975",859.6,52,2010-12-03,14911
"248","536976",149.8,19,2010-12-03,14723
"249","536977",108.78,14,2010-12-03,17954
"250","536980",40.67,6,2010-12-03,17819
"251","536981",101.14,24,2010-12-03,14723
"252","536983",141.53,8,2010-12-03,12712
"253","536984",149.34,26,2010-12-03,17841
"254","536985",160.3,8,2010-12-03,15373
"255","536986",124.14,7,2010-12-03,16140
"256","536987",241.41,52,2010-12-03,17198
"257","536988",254.39,38,2010-12-03,17238
"258","536989",115.7,22,2010-12-03,17238
"259","536990",131.8,7,2010-12-03,12793
"260","536993",110.35,34,2010-12-03,14396
"261","536994",44.95,2,2010-12-03,14898
"262","537022",371.8,23,2010-12-03,12725
"263","537023",122.15,25,2010-12-03,16725
"264","537026",158.9,8,2010-12-03,12395
"265","537030",246.3,13,2010-12-03,16455
"266","537031",135,6,2010-12-03,16455
"267","537034",839.78,52,2010-12-03,13081
"268","537035",11.6,1,2010-12-03,13081
"269","537036",135.33,31,2010-12-03,15545
"270","537037",174.9,9,2010-12-05,17243
"271","537038",89.05,4,2010-12-05,15465
"272","537041",155.64,26,2010-12-05,16033
"273","537042",238.11,52,2010-12-05,13838
"274","537044",251.9,14,2010-12-05,18055
"275","537045",126.43,35,2010-12-05,15038
"276","537046",107.45,12,2010-12-05,18109
"277","537047",228.5,40,2010-12-05,13069
"278","537048",5.9,2,2010-12-05,13069
"279","537049",277.65,14,2010-12-05,16241
"280","537050",483.84,49,2010-12-05,14800
"281","537051",350.68,42,2010-12-05,15708
"282","537053",23.8,2,2010-12-05,16168
"283","537054",152.05,41,2010-12-05,16931
"284","537055",171.29,12,2010-12-05,16814
"285","537057",244.25,50,2010-12-05,15351
"286","537058",173.83,11,2010-12-05,13269
"287","537059",127.98,24,2010-12-05,14813
"288","537065",860.02,54,2010-12-05,12567
"289","537067",27.45,6,2010-12-05,14813
"290","537077",179.64,26,2010-12-05,17062
"291","537081",126.3,7,2010-12-05,15332
"292","537086",56.4,2,2010-12-05,15332
"293","537090",15,1,2010-12-05,15332
"294","537111",180.44,23,2010-12-05,14810
"295","537126",475.86,118,2010-12-05,18118
"296","537128",181.14,22,2010-12-05,12841
"297","537129",301.12,17,2010-12-05,13506
"298","537130",114.65,19,2010-12-05,17796
"299","537131",295.58,34,2010-12-05,15716
"300","537133",206.23,55,2010-12-05,18156
"301","537134",66.59,7,2010-12-05,16983
"302","537135",691.76,116,2010-12-05,17059
"303","537136",166.66,36,2010-12-05,12748
"304","537137",432.4,63,2010-12-05,16327
"305","537138",273.3,33,2010-12-05,17211
"306","537139",33.15,3,2010-12-05,17026
"307","537140",70.42,39,2010-12-05,12748
"308","537141",438.9,42,2010-12-05,15570
"309","537142",41.45,15,2010-12-05,12748
"310","537144",343.28,105,2010-12-05,15880
"311","537153",525.55,43,2010-12-05,16718
"312","537154",546.05,55,2010-12-05,15808
"313","537155",75.64,33,2010-12-05,12748
"314","537156",199.25,18,2010-12-05,17858
"315","537158",151.2,9,2010-12-05,16393
"316","537159",220.8,26,2010-12-05,14527
"317","537160",247.45,25,2010-12-05,14161
"318","537163",298.32,19,2010-12-05,17863
"319","537176",131.5,21,2010-12-05,16411
"320","537179",47.2,2,2010-12-05,13767
"321","537192",211.8,57,2010-12-05,16402
"322","537193",389.8,35,2010-12-05,15023
"323","537195",190.44,26,2010-12-05,15311
"324","537196",330.06,85,2010-12-05,15426
"325","537197",232.5,15,2010-12-05,12647
"326","537198",18,1,2010-12-05,12647
"327","537199",156.74,38,2010-12-05,15894
"328","537200",112.9,29,2010-12-05,15867
"329","537201",919.8,55,2010-12-05,12472
"330","537202",269.7,50,2010-12-05,14506
"331","537204",198.43,32,2010-12-05,15555
"332","537205",165.86,11,2010-12-05,13034
"333","537206",85.55,4,2010-12-05,15235
"334","537207",114.97,21,2010-12-05,17402
"335","537208",297.92,66,2010-12-05,15889
"336","537209",192.68,42,2010-12-05,14606
"337","537210",128.24,15,2010-12-05,15953
"338","537211",253.75,15,2010-12-05,16143
"339","537212",401.39,29,2010-12-05,12720
"340","537213",8.65,6,2010-12-05,12748
"341","537214",12.5,1,2010-12-05,16422
"342","537215",55.86,3,2010-12-05,12747
"343","537216",199,11,2010-12-05,15502
"344","537217",47.6,2,2010-12-05,15502
"345","537218",156.48,12,2010-12-05,12763
"346","537219",423.52,69,2010-12-05,14081
"347","537221",37.35,7,2010-12-05,17965
"348","537222",133.48,26,2010-12-05,14404
"349","537223",132.9,8,2010-12-05,13579
"350","537224",1249.17,165,2010-12-05,13174
"351","537225",430.18,62,2010-12-05,12748
"352","537226",113.48,9,2010-12-06,15987
"353","537227",259.6,14,2010-12-06,17677
"354","537228",25.2,1,2010-12-06,17677
"355","537229",17.4,1,2010-12-06,17677
"356","537231",308.8,18,2010-12-06,13652
"357","537233",27.5,2,2010-12-06,17428
"358","537236",80.85,4,2010-12-06,16858
"359","537238",131.2,14,2010-12-06,16161
"360","537239",210.19,13,2010-12-06,18219
"361","537241",203.22,11,2010-12-06,14293
"362","537242",412.22,29,2010-12-06,14748
"363","537243",50.4,2,2010-12-06,16638
"364","537244",45.78,8,2010-12-06,17674
"365","537245",58.2,3,2010-12-06,14748
"366","537246",129.4,7,2010-12-06,12808
"367","537248",56.25,4,2010-12-06,15899
"368","537250",196.44,14,2010-12-06,12708
"369","537254",382.69,59,2010-12-06,15898
"370","537255",303.5,20,2010-12-06,14443
"371","537256",113.1,6,2010-12-06,16210
"372","537257",142.5,9,2010-12-06,17691
"373","537258",55.15,8,2010-12-06,17227
"374","537262",398.75,53,2010-12-06,15039
"375","537265",270.72,49,2010-12-06,15919
"376","537298",153.5,9,2010-12-06,13497
"377","537301",102.66,15,2010-12-06,15860
"378","537312",92,5,2010-12-06,14189
"379","537313",72.15,4,2010-12-06,15304
"380","537332",178.35,9,2010-12-06,14344
"381","537334",396.98,43,2010-12-06,16719
"382","537335",98.7,23,2010-12-06,15048
"383","537346",488.51,29,2010-12-06,15301
"384","537350",159.66,9,2010-12-06,14708
"385","537351",116.08,32,2010-12-06,16898
"386","537354",133.07,38,2010-12-06,12748
"387","537359",117.5,8,2010-12-06,14825
"388","537362",290.38,57,2010-12-06,17596
"389","537365",372.7,19,2010-12-06,15078
"390","537366",67.75,6,2010-12-06,14085
"391","537367",25.2,1,2010-12-06,15078
"392","537368",232.3,11,2010-12-06,14911
"393","537369",221,57,2010-12-06,17860
"394","537370",347.9,51,2010-12-06,13155
"395","537371",126.97,13,2010-12-06,15028
"396","537372",166.55,21,2010-12-06,16919
"397","537374",381.64,87,2010-12-06,17259
"398","537375",274.82,47,2010-12-06,17019
"399","537376",162.6,12,2010-12-06,16722
"400","537377",127.96,11,2010-12-06,15882
"401","537378",61.65,4,2010-12-06,14911
"402","537381",292.26,19,2010-12-06,14667
"403","537382",375.47,58,2010-12-06,16710
"404","537384",80.7,4,2010-12-06,15984
"405","537385",74.1,12,2010-12-06,14487
"406","537386",20.85,1,2010-12-06,14911
"407","537387",222.18,14,2010-12-06,13468
"408","537388",218.1,13,2010-12-06,17682
"409","537389",149,19,2010-12-06,17757
"410","537390",22.14,6,2010-12-06,16658
"411","537391",516.41,47,2010-12-06,16550
"412","537392",166.15,24,2010-12-06,17068
"413","537393",144.1,7,2010-12-06,13089
"414","537394",81.18,5,2010-12-06,13089
"415","537395",150.22,53,2010-12-06,15356
"416","537396",181.34,28,2010-12-06,17223
"417","537397",96,6,2010-12-06,16817
"418","537399",382.89,59,2010-12-06,13030
"419","537400",378.26,49,2010-12-06,17191
"420","537403",30.45,11,2010-12-06,17191
"421","537404",56.85,11,2010-12-06,17191
"422","537405",279.19,45,2010-12-06,17841
"423","537407",73.1,4,2010-12-06,15502
"424","537409",217.76,12,2010-12-06,15194
"425","537415",121.2,6,2010-12-06,16654
"426","537418",137.11,36,2010-12-06,17884
"427","537419",173.4,8,2010-12-06,13495
"428","537420",274.1,16,2010-12-06,17519
"429","537421",250.04,50,2010-12-06,17218
"430","537422",217.55,33,2010-12-06,17812
"431","537423",61.2,3,2010-12-06,14215
"432","537424",32.55,2,2010-12-06,15602
"433","537428",270.72,18,2010-12-06,17320
"434","537429",82.12,21,2010-12-06,12748
"435","537433",13.52,1,2010-12-06,12913
"436","537435",116.15,11,2010-12-06,17920
"437","537440",138.72,14,2010-12-06,17869
"438","537441",489.6,40,2010-12-06,13564
"439","537446",489.53,26,2010-12-07,18055
"440","537447",151.3,7,2010-12-07,13963
"441","537457",17.7,1,2010-12-07,17511
"442","537458",243.05,12,2010-12-07,17091
"443","537459",146.6,10,2010-12-07,17470
"444","537462",135.15,11,2010-12-07,17228
"445","537463",449.02,31,2010-12-07,12681
"446","537464",366.02,22,2010-12-07,14907
"447","537465",390.85,21,2010-12-07,17735
"448","537467",118.25,18,2010-12-07,16059
"449","537468",277.31,17,2010-12-07,12567
"450","537470",60.25,4,2010-12-07,15018
"451","537471",17.85,1,2010-12-07,14344
"452","537472",76.14,5,2010-12-07,12971
"453","537484",155.16,8,2010-12-07,14733
"454","537489",335.4,18,2010-12-07,17017
"455","537523",159.55,9,2010-12-07,14176
"456","537538",184.75,10,2010-12-07,15353
"457","537567",125.02,29,2010-12-07,18119
"458","537592",31.2,2,2010-12-07,17491
"459","537593",109,6,2010-12-07,14282
"460","537594",210.8,11,2010-12-07,12647
"461","537595",118.32,24,2010-12-07,13569
"462","537598",250.2,12,2010-12-07,14135
"463","537599",19.9,1,2010-12-07,17954
"464","537601",108.78,9,2010-12-07,17287
"465","537603",187.49,11,2010-12-07,14673
"466","537604",497.34,32,2010-12-07,13488
"467","537605",115.74,11,2010-12-07,16221
"468","537606",364.4,26,2010-12-07,15002
"469","537607",156.19,16,2010-12-07,15965
"470","537608",400.17,46,2010-12-07,15024
"471","537609",115.2,4,2010-12-07,17675
"472","537612",143.1,8,2010-12-07,13769
"473","537614",213.6,28,2010-12-07,16904
"474","537615",27.7,2,2010-12-07,15898
"475","537616",15.9,1,2010-12-07,16904
"476","537617",136.7,7,2010-12-07,16086
"477","537618",91.72,7,2010-12-07,15061
"478","537619",109.2,5,2010-12-07,13786
"479","537620",97.8,6,2010-12-07,13880
"480","537622",165.94,23,2010-12-07,13173
"481","537623",383.93,44,2010-12-07,15858
"482","537624",271.44,58,2010-12-07,12748
"483","537625",87.5,6,2010-12-07,15180
"484","537626",440.05,25,2010-12-07,12347
"485","537627",85.08,5,2010-12-07,14739
"486","537628",277.95,14,2010-12-07,16293
"487","537629",250.07,15,2010-12-07,17419
"488","537631",17.4,1,2010-12-07,17419
"489","537634",192.15,17,2010-12-07,16775
"490","537635",15,1,2010-12-07,16306
"491","537646",355.6,79,2010-12-07,17591
"492","537648",322.3,20,2010-12-07,12839
"493","537649",112.6,7,2010-12-07,13807
"494","537650",208.95,11,2010-12-07,16125
"495","537653",188.83,36,2010-12-07,17897
"496","537655",111.15,8,2010-12-07,15081
"497","537665",38.1,5,2010-12-07,16365
"498","537668",48.8,2,2010-12-08,14821
"499","537669",93.45,7,2010-12-08,16863
"500","537670",86.95,5,2010-12-08,13078
"501","537671",251.95,14,2010-12-08,13267
"502","537672",328.01,18,2010-12-08,13050
"503","537673",46.5,2,2010-12-08,12709
"504","537674",248.38,17,2010-12-08,15628
"505","537676",144.3,6,2010-12-08,12386
"506","537678",96.15,6,2010-12-08,16779
"507","537680",206.04,12,2010-12-08,13599
"508","537681",80.1,4,2010-12-08,13329
"509","537682",54.6,3,2010-12-08,13599
"510","537683",332.4,19,2010-12-08,12921
"511","537685",204.87,19,2010-12-08,18077
"512","537688",266.1,14,2010-12-08,17406
"513","537689",260.72,16,2010-12-08,15750
"514","537690",186.86,12,2010-12-08,13983
"515","537691",310.57,20,2010-12-08,13842
"516","537692",411.05,45,2010-12-08,14796
"517","537693",173.55,11,2010-12-08,12441
"518","537694",93.65,12,2010-12-08,14901
"519","537700",30,1,2010-12-08,18229
"520","537707",249.62,13,2010-12-08,14032
"521","537738",287.08,17,2010-12-08,17706
"522","537743",151.95,9,2010-12-08,17706
"523","537751",38.8,2,2010-12-08,17706
"524","537754",157.6,22,2010-12-08,16081
"525","537755",82.4,4,2010-12-08,16525
"526","537757",85.2,4,2010-12-08,17975
"527","537758",105.72,10,2010-12-08,16122
"528","537759",168.24,11,2010-12-08,13126
"529","537760",34.4,2,2010-12-08,15973
"530","537761",19.8,1,2010-12-08,13126
"531","537762",376.95,24,2010-12-08,16558
"532","537764",145.93,45,2010-12-08,16893
"533","537765",175.93,37,2010-12-08,14606
"534","537768",39,2,2010-12-08,15750
"535","537769",205.64,53,2010-12-08,15021
"536","537770",242.56,14,2010-12-08,15529
"537","537771",74.48,4,2010-12-08,15498
"538","537772",316.46,66,2010-12-08,18043
"539","537773",382.27,69,2010-12-08,16016
"540","537774",23.4,1,2010-12-08,14060
"541","537775",614.34,39,2010-12-08,17722
"542","537780",29.55,5,2010-12-08,17324
"543","537781",513.6,161,2010-12-08,17341
"544","537789",94.32,5,2010-12-08,14051
"545","537792",148.23,21,2010-12-08,16385
"546","537793",106.75,17,2010-12-08,15032
"547","537794",414.43,60,2010-12-08,16713
"548","537795",245.7,13,2010-12-08,17213
"549","537796",49.2,2,2010-12-08,18061
"550","537799",142.95,11,2010-12-08,15916
"551","537800",69.79,10,2010-12-08,12748
"552","537802",427.04,24,2010-12-08,13455
"553","537804",95.24,12,2010-12-08,12748
"554","537806",130.27,8,2010-12-08,13113
"555","537808",72.77,15,2010-12-08,15311
"556","537809",118.3,7,2010-12-08,14217
"557","537810",23.85,1,2010-12-08,15032
"558","537813",30.3,2,2010-12-08,18259
"559","537815",225.7,13,2010-12-08,17676
"560","537816",27.75,2,2010-12-08,16679
"561","537817",129,6,2010-12-08,18269
"562","537818",823.79,48,2010-12-08,12766
"563","537819",226.9,13,2010-12-08,15298
"564","537822",510.7,29,2010-12-08,13523
"565","537825",222.5,28,2010-12-08,15005
"566","537826",147.54,18,2010-12-08,15581
"567","537828",378.09,27,2010-12-08,15680
"568","537829",170.6,12,2010-12-08,15498
"569","537830",114.4,14,2010-12-08,13649
"570","537831",106.77,11,2010-12-08,17894
"571","537837",187.36,12,2010-12-08,13077
"572","537840",226.65,13,2010-12-08,13531
"573","537842",127.71,15,2010-12-08,13140
"574","537843",135.75,8,2010-12-08,15713
"575","537844",190.34,38,2010-12-08,17999
"576","537845",71.4,4,2010-12-08,17690
"577","537846",81.6,4,2010-12-08,15347
"578","537847",47.5,3,2010-12-08,14766
"579","537850",318.84,25,2010-12-08,16722
"580","537851",55.8,3,2010-12-08,13758
"581","537852",857.84,53,2010-12-08,17340
"582","537854",93.6,4,2010-12-08,13984
"583","537855",263.25,32,2010-12-08,15996
"584","537859",177.3,23,2010-12-08,14030
"585","537861",80.85,5,2010-12-08,16596
"586","537862",111.53,7,2010-12-08,12971
"587","537863",5.95,1,2010-12-08,14030
"588","537864",125.74,8,2010-12-08,16700
"589","537865",237.95,22,2010-12-08,16011
"590","537866",42.2,2,2010-12-08,17655
"591","537867",234.65,13,2010-12-08,16717
"592","537868",761.22,50,2010-12-08,12433
"593","537871",100.49,23,2010-12-08,12748
"594","537879",61.5,4,2010-12-09,14243
"595","537880",222.6,12,2010-12-09,12963
"596","537882",60.35,3,2010-12-09,15079
"597","537883",63,5,2010-12-09,14437
"598","537884",14.85,1,2010-12-09,15694
"599","537885",258.75,16,2010-12-09,12942
"600","537886",164.3,9,2010-12-09,15660
"601","537888",524.35,35,2010-12-09,15358
"602","537889",348.95,20,2010-12-09,13319
"603","537890",100.2,6,2010-12-09,15358
"604","537891",88.8,5,2010-12-09,13319
"605","537892",159.38,10,2010-12-09,12481
"606","537894",95.31,6,2010-12-09,12621
"607","537895",68.4,3,2010-12-09,14299
"608","537896",258.95,14,2010-12-09,18071
"609","537897",213.88,13,2010-12-09,12683
"610","537898",180.4,17,2010-12-09,17377
"611","537900",201.38,21,2010-12-09,15983
"612","537915",182.63,11,2010-12-09,12797
"613","537955",228.4,48,2010-12-09,16782
"614","537963",147.48,10,2010-12-09,13369
"615","537967",57.6,3,2010-12-09,12494
"616","537995",140.1,8,2010-12-09,12712
"617","538002",282.93,15,2010-12-09,14932
"618","538003",129.3,6,2010-12-09,12429
"619","538007",174.4,11,2010-12-09,14355
"620","538008",725.2,39,2010-12-09,12683
"621","538009",414.55,24,2010-12-09,14911
"622","538010",60,3,2010-12-09,17526
"623","538011",257.22,32,2010-12-09,14896
"624","538012",224.38,29,2010-12-09,14527
"625","538013",114.79,13,2010-12-09,17062
"626","538014",43.5,2,2010-12-09,14440
"627","538015",193.47,20,2010-12-09,13240
"628","538032",174.4,10,2010-12-09,14479
"629","538035",331.29,73,2010-12-09,16065
"630","538037",73.6,4,2010-12-09,17430
"631","538040",325.76,60,2010-12-09,16520
"632","538048",13.6,1,2010-12-09,15945
"633","538049",18.4,5,2010-12-09,12748
"634","538050",15.9,1,2010-12-09,12748
"635","538051",205.35,29,2010-12-09,18041
